X_Coord,Y_Coord,Outfall,inv_elev,Type,Stage_data,Gated
119781.7399999984,485004.8999999985,L34038,-2.24000,FREE,,NO
118561.5700000003,484102.8200000003,M18003,-2.13000,FREE,,NO
119862.8299999982,484201.0799999982,M34058,-1.88000,FREE,,NO
120157.3099999987,484215.1600000001,M34101,-2.03000,FREE,,NO
120148.0300000012,484213.9499999993,M39280,-4.00000,FREE,,NO
